parent|child|mi|containment|jaccard|dotproduct|card1|card2|size1|size2
ckan_keywords_defined contributions|ckan_keywords_dc|0.0110980843898|1.0|1.0|0.0165289256198|2|2|2064|2064
ckan_keywords_limit|ckan_keywords_dc|0.0110980843898|1.0|1.0|0.0165289256198|2|2|2064|2064
ckan_keywords_money purchase|ckan_keywords_dc|0.0110980843898|1.0|1.0|0.0165289256198|2|2|2064|2064
ckan_keywords_mp|ckan_keywords_dc|0.0110980843898|1.0|1.0|0.0165289256198|2|2|2064|2064
ckan_keywords_dc|ckan_keywords_pa|0.0110980843898|1.0|0.5|0.0165289256198|2|3|2064|2064
ckan_keywords_demography|ckan_keywords_census of population|0.0404688109114|1.0|0.310344827586207|0.5625|2|4|2064|2064
ckan_keywords_derailment|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_disaster|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_downloadable data|ckan_topiccategory_environment|0.00603370772761|1.0|0.0158730158730159|0.01|2|13|2064|2064
ckan_keywords_downstream|ckan_keywords_emissions|0.0110980843898|1.0|0.111111111111111|0.0078125|2|6|2064|2064
ckan_topiccategory_health|ckan_keywords_drinking water|0.0120670766379|1.0|1.0|0.00982340976331|3|3|2064|2064
ckan_keywords_earthquake|ckan_subject_health_and_safety|0.00603370772761|1.0|0.00862068965517241|0.0004|2|5|2064|2064
ckan_keywords_ecosystem risk assessment framework|ckan_keywords_ebm|0.0110980843898|1.0|1.0|0.0246913580247|2|2|2064|2064
ckan_keywords_ecosystem-based management|ckan_keywords_ebm|0.0110980843898|1.0|1.0|0.0246913580247|2|2|2064|2064
ckan_keywords_ehv mpa|ckan_keywords_ebm|0.0110980843898|1.0|1.0|0.0246913580247|2|2|2064|2064
ckan_keywords_endeavour hydrothermal vents marine protected area|ckan_keywords_ebm|0.0110980843898|1.0|1.0|0.0246913580247|2|2|2064|2064
ckan_keywords_eraf|ckan_keywords_ebm|0.0110980843898|1.0|1.0|0.0246913580247|2|2|2064|2064
ckan_keywords_eraf pilot project|ckan_keywords_ebm|0.0110980843898|1.0|1.0|0.0246913580247|2|2|2064|2064
ckan_keywords_ebm|ckan_keywords_pacific|0.0110980843898|1.0|0.333333333333333|0.0246913580247|2|4|2064|2064
ckan_keywords_economic policy|ckan_subject_government_and_politics|0.103599146689|1.0|0.0731070496083551|0.28|2|10|2064|2064
ckan_keywords_ecosystems|ckan_topiccategory_biota|0.00603370772761|1.0|0.1|0.04|2|6|2064|2064
ckan_keywords_employment insurance|ckan_keywords_ei|0.121149890544|1.0|1.0|0.944444444444|2|2|2064|2064
ckan_keywords_mar|ckan_keywords_ei|0.121149890544|1.0|1.0|0.944444444444|2|2|2064|2064
ckan_keywords_ei|ckan_subject_labour|0.121149890544|1.0|0.272|0.944444444444|2|5|2064|2064
ckan_topiccategory_economy|ckan_keywords_ei|0.121149890544|1.0|1.0|0.944444444444|2|2|2064|2064
ckan_keywords_elder assisted hearing|ckan_keywords_conditional release|0.0286827349426|1.0|0.5|0.0136054421769|2|4|2064|2064
ckan_keywords_air pollution|ckan_keywords_emissions|0.0600227074436|1.0|0.666666666666667|0.0368472492234|6|5|2064|2064
ckan_keywords_sources|ckan_keywords_emissions|0.037838763104|1.0|0.444444444444444|0.0268245802476|6|3|2064|2064
ckan_keywords_water pollution|ckan_keywords_emissions|0.0202663661354|0.666666666666667|0.2|0.00308641975309|6|3|2064|2064
ckan_keywords_emissions|ckan_subject_nature_and_environment|0.0659332368068|1.0|0.125|0.0520598130383|6|19|2064|2064
ckan_keywords_bacteria|ckan_keywords_environment|0.0484970181296|1.0|0.714285714285714|0.0366469528988|5|4|2064|2064
ckan_keywords_disposal|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_energy recovery|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_environmental programs|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_facilities|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_federal provincial agreements|ckan_keywords_environment|0.0327077651228|1.0|0.5|0.0213408304498|5|3|2064|2064
ckan_keywords_industry|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_inventory|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_lakes|ckan_keywords_environment|0.0327077651228|1.0|0.5|0.0213408304498|5|3|2064|2064
ckan_keywords_land|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_major ions|ckan_keywords_environment|0.0484970181296|1.0|0.714285714285714|0.0366469528988|5|4|2064|2064
ckan_keywords_map|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_metals|ckan_keywords_environment|0.0484970181296|1.0|0.714285714285714|0.0366469528988|5|4|2064|2064
ckan_keywords_monitoring|ckan_keywords_environment|0.0484970181296|1.0|0.714285714285714|0.0366469528988|5|4|2064|2064
ckan_keywords_npri|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_ozone|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_recycling|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_release|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
ckan_keywords_rivers|ckan_keywords_environment|0.0484970181296|1.0|0.714285714285714|0.0366469528988|5|4|2064|2064
ckan_keywords_smog|ckan_keywords_environment|0.0202568283567|1.0|0.285714285714286|0.00308641975309|5|2|2064|2064
