parent|child|cont_jacc|containment|jaccard
ckan_keywords_ontario|ckan_keywords_cloud base|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_ontario|ckan_keywords_environment and climate change canada|7.027027027027042|1.0|0.142307692307692
ckan_keywords_ontario|ckan_keywords_gust|7.027027027027042|1.0|0.142307692307692
ckan_keywords_ontario|ckan_keywords_marine|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_ontario|ckan_keywords_meteorology|7.027027027027042|1.0|0.142307692307692
ckan_keywords_ontario|ckan_keywords_nav canada|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_ontario|ckan_keywords_present weather|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_ontario|ckan_keywords_sea surface temperature|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_ontario|ckan_keywords_station pressure|7.027027027027042|1.0|0.142307692307692
ckan_keywords_ontario|ckan_keywords_technology|7.027027027027042|1.0|0.142307692307692
ckan_keywords_ontario|ckan_keywords_watchkeeper|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_ontario|ckan_keywords_wave height|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_ontario|ckan_keywords_weather observations|7.027027027027042|1.0|0.142307692307692
ckan_keywords_ontario|ckan_keywords_weather stations|7.027027027027042|1.0|0.142307692307692
ckan_keywords_ontario|ckan_keywords_wet bulb temperature|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_ontario|ckan_keywords_wind|7.027027027027042|1.0|0.142307692307692
ckan_keywords_organics|ckan_subject_nature_and_environment|48.00000000000008|1.0|0.0208333333333333
ckan_keywords_organisation for economic co-operation and development|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_other|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_oversee and manage site conditions|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_pacfic|ckan_keywords_british columbia|230.00000000000009|1.0|0.00434782608695652
ckan_keywords_pacific|ckan_keywords_british columbia|38.99999999999995|0.333333333333333|0.00854700854700855
ckan_keywords_pacific region|ckan_keywords_british columbia|76.66666666666647|1.0|0.0130434782608696
ckan_keywords_pan am|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_pandemic|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_parapan am|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_pb|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_peak wave height|ckan_keywords_ontario|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_pelagic|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_personal income taxes|ckan_keywords_canada revenue agency|13.35|1.0|0.0749063670411985
ckan_keywords_pollutant|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_pollution|ckan_subject_nature_and_environment|14.400000000000007|1.0|0.0694444444444444
ckan_keywords_pollution prevention|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_population distribution|ckan_keywords_british columbia|115.00000000000004|1.0|0.00869565217391304
ckan_keywords_power failure|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_precipitation|ckan_keywords_solar radiation|19.000000000000007|1.0|0.0526315789473684
ckan_keywords_pressure|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_pressure tendency|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_pressures|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_procellariiformes|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_production|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_psea|ckan_subject_government_and_politics|95.75000000000013|1.0|0.010443864229765
ckan_keywords_publications|ckan_subject_agriculture|23.499999999999947|0.5|0.0212765957446809
ckan_keywords_publications|ckan_subject_nature_and_environment|72.50000000000001|0.5|0.00689655172413793
ckan_keywords_publications|ckan_subject_persons|38.000000000000014|0.5|0.0131578947368421
ckan_keywords_publishing|ckan_subject_nature_and_environment|72.50000000000001|0.5|0.00689655172413793
ckan_keywords_quebec (qc)|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_radiation protection bureau|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_radiological|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_radon|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_rainfall|ckan_keywords_ontario|14.44444444444445|1.0|0.0692307692307692
ckan_keywords_range map|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_raw data|ckan_keywords_ontario|7.027027027027042|1.0|0.142307692307692
ckan_keywords_recycling|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_regional|ckan_subject_nature_and_environment|71.99999999999994|1.0|0.0138888888888889
ckan_keywords_regional ecosystems|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_relative humidity|ckan_keywords_ontario|13.736842105263166|0.947368421052632|0.0689655172413793
ckan_keywords_relative humidity|ckan_keywords_solar radiation|19.000000000000007|1.0|0.0526315789473684
ckan_keywords_release|ckan_subject_nature_and_environment|35.99999999999997|1.0|0.0277777777777778
ckan_keywords_releases|ckan_subject_nature_and_environment|23.999999999999982|1.0|0.0416666666666667
ckan_keywords_research|ckan_keywords_ontario|13.684210526315786|1.0|0.0730769230769231
ckan_keywords_respond to environmental emergencies|ckan_subject_nature_and_environment|144.00000000000009|1.0|0.00694444444444444
ckan_keywords_review|ckan_subject_law|4.0|1.0|0.25
ckan_keywords_riot|ckan_subject_health_and_safety|116.00000000000004|1.0|0.00862068965517241
ckan_keywords_rivers|ckan_subject_nature_and_environment|14.400000000000007|1.0|0.0694444444444444
